StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
David Warner,214,14,27-10-1986,SRH,Sunrisers Hyderabad,14,562,359,156.54,65,21,13,1,7,0,91,43.23,Australia,lhb,Overseas,False
Lendl Simmons,368,13,25-1-1985,MI,Mumbai Indians,13,540,441,122.44,56,21,12,1,6,0,71,45.0,West Indies,rhb,Overseas,True
Ajinkya Rahane,44,14,6-6-1988,RR,Rajasthan Royals,13,540,413,130.75,53,13,11,2,4,0,91*,49.09,India,rhb,Indian,True
AB de Villiers,198,16,17-2-1984,RCB,Royal Challengers Bangalore,14,513,293,175.08,60,22,11,3,2,1,133*,46.63,South Africa,rhb,Overseas,True
Virat Kohli,2,16,5-11-1988,RCB,Royal Challengers Bangalore,16,505,386,130.82,35,23,11,5,3,0,82*,45.9,India,rhb,Indian,True
Chris Gayle,126,14,21-9-1979,RCB,Royal Challengers Bangalore,14,491,333,147.44,39,38,12,2,2,1,117,40.91,West Indies,lhb,Overseas,False
Rohit Sharma,6,16,30-4-1987,MI,Mumbai Indians,16,482,333,144.74,41,21,14,2,3,0,98*,34.42,India,rhb,Indian,True
Shreyas Iyer,12,14,6-12-1994,DC,Delhi Capitals,14,439,342,128.36,41,21,13,1,4,0,83,33.76,India,rhb,Indian,True
Brendon McCullum,0,14,27-9-1981,CSK,Chennai Super Kings,14,436,280,155.71,51,23,13,1,2,1,100*,33.53,New Zealand,rhb,Overseas,True
Kieron Pollard,166,16,12-5-1987,MI,Mumbai Indians,14,419,256,163.67,28,28,11,3,2,0,70,38.09,West Indies,rhb,Overseas,True
JP Duminy,0,14,14-4-1984,DC,Delhi Capitals,13,414,315,131.42,27,20,10,3,4,0,78*,41.4,South Africa,lhb,Overseas,False
Dwayne Smith,0,16,12-4-1983,CSK,Chennai Super Kings,16,399,335,119.1,52,16,16,0,2,0,62,24.93,West Indies,rhb,Overseas,True
Faf du Plessis,94,17,13-7-1984,CSK,Chennai Super Kings,15,380,304,125.0,37,5,13,2,1,0,55,29.23,South Africa,rhb,Overseas,True
Suresh Raina,106,17,27-11-1986,CSK,Chennai Super Kings,17,374,304,123.02,31,16,15,2,2,0,62,24.93,India,lhb,Indian,False
MS Dhoni,57,17,7-7-1981,CSK,Chennai Super Kings,17,372,305,121.96,27,17,12,5,1,0,53,31.0,India,rhb,Indian,True
Robin Uthappa,153,13,11-11-1985,KKR,Kolkata Knight Riders,13,364,277,131.4,42,7,12,1,1,0,80*,30.33,India,rhb,Indian,True
