Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Chris Gayle,15,21-9-1979,RCB,Royal Challengers Bangalore,14,733,456,160.74,46,59,12,2,7,1,128*,61.08,West Indies,lhb,Overseas,False
Gautam Gambhir,17,14-10-1981,KKR,Kolkata Knight Riders,17,590,411,143.55,64,17,15,2,6,0,93,39.33,India,lhb,Indian,False
Shikhar Dhawan,15,5-12-1985,DEC,Deccan Chargers,15,569,439,129.61,58,18,14,1,5,0,84,40.64,India,lhb,Indian,False
Ajinkya Rahane,16,6-6-1988,RR,Rajasthan Royals,16,560,433,129.33,73,10,14,2,3,1,103*,40.0,India,rhb,Indian,True
Virender Sehwag,16,20-10-1978,DC,Delhi Capitals,16,495,307,161.23,57,19,15,1,5,0,87*,33.0,India,rhb,Indian,True
Cameron White,13,18-8-1983,DEC,Deccan Chargers,13,479,320,149.68,41,20,11,2,5,0,78,43.54,Australia,rhb,Overseas,True
Rahul Dravid,16,11-1-1973,RR,Rajasthan Royals,16,462,412,112.13,63,4,16,0,2,0,58,28.87,India,rhb,Indian,True
Suresh Raina,19,27-11-1986,CSK,Chennai Super Kings,18,441,325,135.69,36,19,17,1,1,0,73,25.94,India,lhb,Indian,False
Rohit Sharma,17,30-4-1987,MI,Mumbai Indians,16,433,342,126.6,39,18,14,2,3,1,109*,30.92,India,rhb,Indian,True
Mandeep Singh,16,18-12-1991,PBKS,Punjab Kings,16,432,342,126.31,53,7,16,0,2,0,75,27.0,India,rhb,Indian,True
Jacques Kallis,17,16-10-1975,KKR,Kolkata Knight Riders,17,409,384,106.51,34,10,16,1,2,0,79,25.56,South Africa,rhb,Overseas,True
Robin Uthappa,16,11-11-1985,PWI,Pune Warriors India,16,405,343,118.07,38,10,15,1,2,0,69,27.0,India,rhb,Indian,True
Faf du Plessis,13,13-7-1984,CSK,Chennai Super Kings,12,398,304,130.92,29,17,12,0,3,0,73,33.16,South Africa,rhb,Overseas,True
David Hussey,16,15-7-1977,PBKS,Punjab Kings,15,396,305,129.83,28,17,12,3,2,0,68*,33.0,Australia,rhb,Overseas,True
Dwayne Bravo,19,7-10-1983,CSK,Chennai Super Kings,16,371,264,140.53,20,20,8,8,0,0,48,46.37,West Indies,rhb,Overseas,True
Virat Kohli,16,5-11-1988,RCB,Royal Challengers Bangalore,15,364,326,111.65,33,9,13,2,2,0,73*,28.0,India,rhb,Indian,True
Steve Smith,15,2-6-1989,PWI,Pune Warriors India,14,362,267,135.58,24,14,9,5,0,0,47*,40.22,Australia,rhb,Overseas,True
MS Dhoni,19,7-7-1981,CSK,Chennai Super Kings,17,358,278,128.77,26,9,12,5,1,0,51*,29.83,India,rhb,Indian,True
Owais Shah,13,22-10-1978,RR,Rajasthan Royals,13,340,256,132.81,24,16,9,4,3,0,76,37.77,England,rhb,Overseas,True
Shaun Marsh,13,9-7-1983,PBKS,Punjab Kings,13,336,280,120.0,39,7,11,2,2,0,68*,30.54,Australia,lhb,Overseas,False
Murali Vijay,14,1-4-1984,CSK,Chennai Super Kings,14,336,267,125.84,39,10,13,1,0,1,113,25.84,India,rhb,Indian,True
Mahela Jayawardena,16,27-5-1977,DC,Delhi Capitals,15,335,298,112.41,39,3,12,3,3,0,56*,27.91,Sri Lanka,rhb,Overseas,True
Ambati Rayudu,17,23-9-1985,MI,Mumbai Indians,15,333,252,132.14,21,14,9,6,2,0,81*,37.0,India,rhb,Indian,True
Sachin Tendulkar,13,24-4-1973,MI,Mumbai Indians,13,324,283,114.48,39,4,11,2,2,0,74,29.45,India,rhb,Indian,True
AB de Villiers,16,17-2-1984,RCB,Royal Challengers Bangalore,13,319,198,161.11,26,15,8,5,3,0,64*,39.87,South Africa,rhb,Overseas,True
Kevin Pietersen,8,27-6-1980,DC,Delhi Capitals,8,305,207,147.34,22,20,5,3,1,1,103*,61.0,England,rhb,Overseas,True
Brendon McCullum,12,27-9-1981,KKR,Kolkata Knight Riders,12,289,283,102.12,37,3,12,0,1,0,56,24.08,New Zealand,rhb,Overseas,True
Tillakaratne Dilshan,10,14-10-1976,RCB,Royal Challengers Bangalore,9,285,261,109.19,33,5,8,1,3,0,76*,35.62,Sri Lanka,rhb,Overseas,True
Sourav Ganguly,15,8-7-1972,PWI,Pune Warriors India,15,268,271,98.89,30,4,15,0,0,0,45,17.86,India,lhb,Indian,False
Michael Hussey,8,27-5-1975,CSK,Chennai Super Kings,8,261,236,110.59,28,8,8,0,2,0,56,32.62,Australia,lhb,Overseas,False
Manoj Tiwary,16,14-11-1985,KKR,Kolkata Knight Riders,15,260,246,105.69,21,3,10,5,1,0,59,26.0,India,rhb,Indian,True
David Warner,8,27-10-1986,DC,Delhi Capitals,8,256,156,164.1,28,14,7,1,1,1,109*,36.57,Australia,lhb,Overseas,False
Jesse Ryder,11,6-8-1984,PWI,Pune Warriors India,11,256,212,120.75,23,8,10,1,2,0,86,25.6,New Zealand,lhb,Overseas,False
Shane Watson,7,17-6-1981,RR,Rajasthan Royals,7,255,168,151.78,26,14,6,1,2,0,90*,42.5,Australia,rhb,Overseas,True
Naman Ojha,18,20-7-1983,DC,Delhi Capitals,16,255,224,113.83,21,13,11,5,1,0,64*,23.18,India,rhb,Indian,True
Brad Hodge,12,29-12-1974,RR,Rajasthan Royals,12,245,175,140.0,18,9,8,4,0,0,48*,30.62,Australia,rhb,Overseas,True
JP Duminy,9,14-4-1984,DEC,Deccan Chargers,9,244,190,128.42,13,11,3,6,2,0,74,81.33,South Africa,lhb,Overseas,False
Dinesh Karthik,17,1-6-1985,MI,Mumbai Indians,14,238,213,111.73,30,2,13,1,0,0,44,18.3,India,rhb,Indian,True
Mayank Agarwal,16,16-2-1991,RCB,Royal Challengers Bangalore,12,225,158,142.4,19,15,11,1,1,0,64*,20.45,India,rhb,Indian,True
James Franklin,12,7-11-1980,MI,Mumbai Indians,11,220,223,98.65,15,6,9,2,1,0,79,24.44,New Zealand,lhb,Overseas,False
Kieron Pollard,14,12-5-1987,MI,Mumbai Indians,11,220,159,138.36,15,14,9,2,2,0,64,24.44,West Indies,rhb,Overseas,True
Ashok Menaria,15,29-10-1990,RR,Rajasthan Royals,12,220,202,108.91,14,8,11,1,0,0,40,20.0,India,lhb,Indian,False
Manvinder Bisla,7,27-12-1984,KKR,Kolkata Knight Riders,7,213,160,133.12,16,10,7,0,1,0,89,30.42,India,rhb,Indian,True
