PLAYER,TYPE,BASE PRICE
Doug Bollinger,Bowler,"200,000"
Aaron Finch,Batsman,"200,000"
John Hastings,All-Rounder,"200,000"
Matthew Wade,Wicket Keeper,"200,000"
Matt Prior,Wicket Keeper,"200,000"
Herschelle Gibbs,Batsman,"200,000"
Callum Ferguson,Batsman,"100,000"
Josh Hazlewood,Bowler,"100,000"
James Hopes,All-Rounder,"100,000"
Stephen O'Keefe,Bowler,"100,000"
Adam Voges,Batsman,"100,000"
Ravi Bopara,All-Rounder,"100,000"
Martin Guptill,Batsman,"100,000"
Vernon Philander,Bowler,"100,000"
Dinesh Chandimal,Wicket Keeper,"100,000"
Dilhara Fernando,Bowler,"100,000"
Rangana Herath,Bowler,"100,000"
Thilan Samaraweera,Batsman,"100,000"
Upul Tharanga,Batsman,"100,000"
Darren Bravo,Batsman,"100,000"
Ben Cutting,Bowler,"100,000"
Nic Maddinson,Batsman,"100,000"
Scott Styris,All-Rounder,"100,000"
Tim Paine,Wicket Keeper,"100,000"
Travis Birt,Batsman,"100,000"
Trent copeland,Bowler,"50,000"
Rory Kleinveldt,Bowler,"50,000"
Richard Levi,Batsman,"50,000"
Prasanna Jayawardena,Wicket Keeper,"50,000"
Farveez Maharoof,All-Rounder,"50,000"
Tharanga Paranavithana,Batsman,"50,000"
Dilruwan Perera,All-Rounder,"50,000"
Dhammika Prasad,Bowler,"50,000"
Suraj Randiv,Bowler,"50,000"
Chanaka Welegedara,Bowler,"50,000"
Tino Best,Bowler,"50,000"
Kieran Powell,Batsman,"50,000"
Ricardo Powell,Batsman,"50,000"
Denesh Ramdin,Wicket Keeper,"50,000"
Jerome Taylor,Bowler,"50,000"
Daniel Harris,Batsman,"50,000"
Alister McDermott,Bowler,"50,000"
Ben Rohrer,Batsman,"50,000"
Kevin O'Brien,All-Rounder,"50,000"
Devendra Bishoo,Bowler,"50,000"
Wasim Jaffer,Batsman,"50,000"
Joe Burns,Batsman,"50,000"
Paul Harris,Bowler,"20,000"
Lonwabo Tsotsobe,Bowler,"20,000"
Dane Vilas,Wicket Keeper,"20,000"
Chamara Kapugedera,Batsman,"20,000"
Jehan Mubarak,Batsman,"20,000"
Dilshan Munaweera,Batsman,"20,000"
Nuwan Pradeep,Bowler,"20,000"
Seekkuge Prasanna,All-Rounder,"20,000"
Lahiru Thirimanne,Batsman,"20,000"
Danza Hyatt,All-Rounder,"20,000"
Veerasammy Permaul,Bowler,"20,000"
Andrew Birch,Bowler,"20,000"
Jandre Coetzee,All-Rounder,"20,000"
Henry Davids,Batsman,"20,000"
Alistair Gray,All-Rounder,"20,000"
Aaron Phangiso,Bowler,"20,000"
Dwaine Pretorius,All-Rounder,"20,000"
Rilee Rossouw,Batsman,"20,000"
Stiaan Van Zyl,All-Rounder,"20,000"
David Wiese,All-Rounder,"20,000"
Cameron Boyce,Bowler,"20,000"
Charl Langeveldt,Bowler,"20,000"
Sulieman Benn,Bowler,"20,000"
Kaushal Silva,Wicket Keeper,"20,000"
