Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Matthew Hayden,29-10-1971,572.0,395.0,144.81,60.0,22.0,11.0,1.0,5.0,0.0,89,52.0,Australia,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,12.0,12.0,Overseas,False
Adam Gilchrist,14-11-1971,495.0,325.0,152.3,54.0,29.0,16.0,0.0,3.0,0.0,85,30.93,Australia,lhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,16.0,16.0,Overseas,False
Suresh Raina,27-11-1986,434.0,308.0,140.9,37.0,21.0,14.0,0.0,2.0,0.0,98,31.0,India,lhb,164.0,57.0,23.42,23.71,5.92,27,37.0,21.0,7.0,2/0,2/0,0.0,0.0,0.0,162.0,CSK,Chennai Super Kings,14.0,14.0,Indian,False
JP Duminy,14-4-1984,372.0,325.0,114.46,26.0,11.0,9.0,3.0,5.0,0.0,62,41.33,South Africa,lhb,93.0,44.0,23.25,26.25,5.31,17,26.0,11.0,4.0,4/17,4/17,0.0,0.0,0.0,102.0,MI,Mumbai Indians,12.0,13.0,Overseas,False
Herschelle Gibbs,23-2-1974,371.0,331.0,112.08,32.0,12.0,11.0,3.0,4.0,0.0,69*,33.72,South Africa,rhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,14.0,14.0,Overseas,True
Brad Hodge,29-12-1974,365.0,310.0,117.74,34.0,9.0,9.0,3.0,3.0,0.0,73,40.55,Australia,rhb,161.0,34.0,23.0,17.14,8.05,20,34.0,9.0,7.0,4/13,4/13,0.0,0.0,0.0,120.0,KKR,Kolkata Knight Riders,12.0,12.0,Overseas,True
Sachin Tendulkar,24-4-1973,364.0,303.0,120.13,39.0,10.0,11.0,2.0,2.0,0.0,68,33.09,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,13.0,13.0,Indian,True
Rohit Sharma,30-4-1987,362.0,315.0,114.92,22.0,18.0,13.0,3.0,1.0,0.0,52,27.84,India,rhb,161.0,39.0,14.63,12.54,7.0,23,22.0,18.0,11.0,4/6,4/6,0.0,1.0,0.0,138.0,DEC,Deccan Chargers,16.0,16.0,Indian,True
Jacques Kallis,16-10-1975,361.0,332.0,108.73,37.0,8.0,13.0,2.0,3.0,0.0,69*,27.76,South Africa,rhb,353.0,111.0,58.83,46.0,7.67,46,37.0,8.0,6.0,3/13,3/13,1.0,0.0,0.0,276.0,RCB,Royal Challengers Bangalore,15.0,15.0,Overseas,True
Yuvraj Singh,12-12-1981,340.0,294.0,115.64,25.0,16.0,12.0,2.0,2.0,0.0,58*,28.33,India,lhb,142.0,48.0,23.66,20.0,7.1,20,25.0,16.0,6.0,4/29,4/29,0.0,0.0,0.0,120.0,PBKS,Punjab Kings,14.0,14.0,Indian,False
Kumar Sangakkara,27-10-1977,332.0,324.0,102.46,29.0,5.0,11.0,2.0,2.0,0.0,60,30.18,Sri Lanka,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,13.0,14.0,Overseas,False
MS Dhoni,7-7-1981,332.0,261.0,127.2,22.0,9.0,8.0,5.0,2.0,0.0,58*,41.5,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,13.0,14.0,Indian,True
Ravindra Jadeja,6-12-1988,295.0,266.0,110.9,21.0,6.0,11.0,2.0,0.0,0.0,42,26.81,India,lhb,151.0,44.0,25.16,23.33,6.47,23,21.0,6.0,6.0,5/16,5/16,0.0,0.0,0.0,138.0,RR,Rajasthan Royals,13.0,13.0,Indian,False
Brendon McCullum,27-9-1981,285.0,239.0,119.24,27.0,12.0,12.0,1.0,2.0,0.0,84*,23.75,New Zealand,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,13.0,13.0,Overseas,True
Ross Taylor,8-3-1984,280.0,208.0,134.61,20.0,15.0,9.0,2.0,1.0,0.0,81*,31.11,New Zealand,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,11.0,11.0,Overseas,True
Rahul Dravid,11-1-1973,271.0,234.0,115.81,28.0,3.0,12.0,0.0,1.0,0.0,66,22.58,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,12.0,13.0,Indian,True
Andrew Symonds,9-6-1975,249.0,166.0,150.0,15.0,11.0,7.0,1.0,1.0,0.0,60*,35.57,Australia,rhb,160.0,66.0,22.85,20.57,6.66,24,15.0,11.0,7.0,3/21,3/21,0.0,0.0,0.0,144.0,DEC,Deccan Chargers,8.0,8.0,Overseas,True
Virat Kohli,5-11-1988,246.0,219.0,112.32,22.0,8.0,11.0,2.0,1.0,0.0,50,22.36,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,13.0,16.0,Indian,True
Yusuf Pathan,17-11-1982,243.0,183.0,132.78,24.0,12.0,12.0,1.0,1.0,0.0,62*,20.25,India,rhb,243.0,84.0,34.71,30.0,6.94,35,24.0,12.0,7.0,3/20,3/20,0.0,0.0,0.0,210.0,RR,Rajasthan Royals,13.0,13.0,Indian,True
Tirumalasetti Suman,15-12-1983,237.0,190.0,124.73,18.0,8.0,10.0,2.0,0.0,0.0,41*,23.7,India,rhb,108.0,31.0,21.6,18.0,7.2,15,18.0,8.0,5.0,2/14,2/14,0.0,0.0,0.0,90.0,DEC,Deccan Chargers,12.0,12.0,Indian,True
Sanath Jayasuriya,30-6-1969,221.0,192.0,115.1,23.0,7.0,12.0,0.0,2.0,0.0,52,18.41,Sri Lanka,lhb,163.0,29.0,23.28,16.28,8.57,19,23.0,7.0,7.0,3/14,3/14,0.0,0.0,0.0,114.0,MI,Mumbai Indians,12.0,12.0,Overseas,False
Mahela Jayawardena,27-5-1977,219.0,165.0,132.72,17.0,7.0,6.0,4.0,1.0,0.0,52*,36.5,Sri Lanka,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,10.0,10.0,Overseas,True
Dwayne Bravo,7-10-1983,218.0,203.0,107.38,15.0,8.0,8.0,2.0,2.0,0.0,70*,27.25,West Indies,rhb,259.0,91.0,23.54,18.09,7.8,33,15.0,8.0,11.0,4/22,4/22,0.0,0.0,0.0,198.0,MI,Mumbai Indians,10.0,11.0,Overseas,True
Dwayne Smith,12-4-1983,215.0,132.0,162.87,12.0,15.0,8.0,0.0,0.0,0.0,49,26.87,West Indies,rhb,124.0,30.0,124.0,84.0,8.85,14,12.0,15.0,1.0,4/8,4/8,0.0,0.0,0.0,84.0,DEC,Deccan Chargers,8.0,8.0,Overseas,True
