Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Chris Gayle,21-9-1979,608.0,332.0,183.13,57.0,44.0,9.0,3.0,3.0,2.0,107,67.55,West Indies,lhb,244.0,80.0,30.5,27.0,6.77,36,57.0,44.0,8.0,3/21,3/21,0.0,0.0,0.0,216.0,RCB,Royal Challengers Bangalore,12.0,12.0,Overseas,False
Virat Kohli,5-11-1988,557.0,460.0,121.08,55.0,16.0,12.0,4.0,4.0,0.0,71,46.41,India,rhb,139.0,23.0,69.5,51.0,8.17,17,55.0,16.0,2.0,2/25,2/25,0.0,0.0,0.0,102.0,RCB,Royal Challengers Bangalore,16.0,16.0,Indian,True
Sachin Tendulkar,24-4-1973,553.0,488.0,113.31,67.0,5.0,13.0,3.0,2.0,1.0,100*,42.53,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,16.0,16.0,Indian,True
Shaun Marsh,9-7-1983,504.0,344.0,146.51,52.0,20.0,12.0,1.0,4.0,0.0,95,42.0,Australia,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,13.0,14.0,Overseas,False
Michael Hussey,27-5-1975,492.0,414.0,118.84,53.0,6.0,12.0,2.0,4.0,0.0,83*,41.0,Australia,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,14.0,14.0,Overseas,False
Paul Valthaty,7-12-1983,463.0,338.0,136.98,56.0,20.0,13.0,1.0,2.0,1.0,120*,35.61,India,rhb,189.0,43.0,27.0,20.71,7.82,24,56.0,20.0,7.0,4/29,4/29,0.0,1.0,0.0,144.0,PBKS,Punjab Kings,14.0,14.0,Indian,True
Suresh Raina,27-11-1986,438.0,325.0,134.76,36.0,17.0,14.0,2.0,4.0,0.0,73*,31.28,India,lhb,201.0,62.0,50.25,41.25,7.3,27,36.0,17.0,4.0,2/0,2/0,0.0,0.0,0.0,162.0,CSK,Chennai Super Kings,16.0,16.0,Indian,False
Murali Vijay,1-4-1984,434.0,339.0,128.02,34.0,20.0,16.0,0.0,3.0,0.0,95,27.12,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,16.0,16.0,Indian,True
Virender Sehwag,20-10-1978,424.0,240.0,176.66,51.0,18.0,11.0,0.0,2.0,1.0,119,38.54,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,11.0,11.0,Indian,True
Jacques Kallis,16-10-1975,424.0,378.0,112.16,46.0,6.0,12.0,2.0,4.0,0.0,80*,35.33,South Africa,rhb,170.0,54.0,24.28,20.57,7.08,24,46.0,6.0,7.0,3/13,3/13,0.0,0.0,0.0,144.0,KKR,Kolkata Knight Riders,14.0,15.0,Overseas,True
Shikhar Dhawan,5-12-1985,400.0,310.0,129.03,47.0,7.0,12.0,2.0,2.0,0.0,95*,33.33,India,lhb,11.0,5.0,11.0,12.0,5.5,2,47.0,7.0,1.0,1/7,1/7,0.0,0.0,0.0,12.0,DEC,Deccan Chargers,14.0,14.0,Indian,False
