StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Jos Buttler,182,17,0000-00-00,true,,60,2019-100mb00000000182-b78f12ef44b611,18,RR,Rajasthan Royals,60,18,2019-100mb00000000182-b78f12ef44b611,17,31,863,579,230,149.05,39.72,2.51,4.52,69.75,2.47,349,185,33,2,83,45,15,2,431.50,4,4,0,116,57.53,9,0,509
K L Rahul,19,15,0000-00-00,true,,60,2018-100mb00000000019-80e59e32e99c11,77,LSG,Lucknow Super Giants,60,77,2018-100mb00000000019-80e59e32e99c11,15,37,616,455,151,135.38,33.18,3.01,6.06,58.44,2.02,304,203,25,1,45,30,12,3,205.33,4,2,0,103*,51.33,9,0,1125
Quinton De Kock,170,15,0000-00-00,false,,60,2019-100mb00000000170-9429250944ae11,77,LSG,Lucknow Super Giants,60,77,2019-100mb00000000170-9429250944ae11,15,18,508,341,115,148.97,33.72,2.96,4.87,64.17,2.24,226,131,24,1,47,23,14,1,508.00,3,1,0,140*,36.29,12,1,834
Hardik Pandya,54,15,0000-00-00,true,,60,2018-100mb00000000054-e3ebefa2050a11,35,GT,Gujarat Titans,60,35,2018-100mb00000000054-e3ebefa2050a11,15,25,487,371,119,131.26,32.07,3.11,6.08,55.03,1.93,252,164,26,1,49,12,11,4,121.75,4,0,0,87*,44.27,2,0,2740
Shubman Gill,62,16,0000-00-00,true,,60,2019-100mb00000000062-8fa4884a17f311,35,GT,Gujarat Titans,60,35,2019-100mb00000000062-8fa4884a17f311,16,22,483,365,117,132.32,32.05,3.11,5.88,55.90,1.94,248,159,27,0,51,11,14,2,241.50,4,0,0,96,34.50,7,0,3761
David Miller,128,16,0000-00-00,false,,60,2019-100mb00000000128-e95bebea449911,35,GT,Gujarat Titans,60,35,2019-100mb00000000128-e95bebea449911,16,19,481,337,95,142.72,28.18,3.54,6.12,55.30,1.98,242,159,28,0,32,23,7,9,53.44,2,0,0,94*,68.71,6,0,187
Faf Du Plessis,94,16,0000-00-00,true,,60,2019-100mb00000000094-1e8fa14543ee11,19,RCB,Royal Challengers Bangalore,60,19,2019-100mb00000000094-1e8fa14543ee11,16,25,468,367,145,127.52,39.50,2.53,5.91,58.54,2.10,222,129,28,3,49,13,15,1,468.00,3,0,0,96,31.20,4,0,24
Shikhar Dhawan,11,14,0000-00-00,false,,60,2018-100mb00000000011-cbf5eb14e99b11,15,PBKS,Punjab Kings,60,15,2018-100mb00000000011-cbf5eb14e99b11,14,40,460,375,141,122.66,37.60,2.65,6.35,56.52,1.96,234,151,23,1,47,12,12,2,230.00,3,0,0,88*,38.33,10,0,41
Sanju Samson,190,17,0000-00-00,true,,60,2019-100mb00000000190-c62cbae544b711,18,RR,Rajasthan Royals,60,18,2019-100mb00000000190-c62cbae544b711,17,20,458,312,129,146.79,41.34,2.41,4.52,71.61,2.50,183,99,14,1,43,26,16,1,458.00,2,0,0,55,28.63,14,2,258
Deepak Hooda,215,15,0000-00-00,true,,60,2019-100mb00000000215-f86e728844bc11,77,LSG,Lucknow Super Giants,60,77,2019-100mb00000000215-f86e728844bc11,14,20,451,330,104,136.66,31.51,3.17,6.11,55.87,1.99,226,146,25,1,36,18,14,0,NA,4,0,0,59,32.21,8,0,1556
Liam Livingstone,183,14,0000-00-00,true,,60,2019-100mb00000000183-f4a991db44b611,15,PBKS,Punjab Kings,60,15,2019-100mb00000000183-f4a991db44b611,14,28,437,240,72,182.08,30.00,3.33,3.80,73.22,2.60,168,95,8,2,29,34,12,2,218.50,4,0,0,70,36.42,5,0,3644
David Warner,214,12,0000-00-00,false,,60,2019-100mb00000000214-df216bed44bc11,14,DC,Delhi Capitals,60,14,2019-100mb00000000214-df216bed44bc11,12,29,432,287,103,150.52,35.88,2.78,4.28,68.98,2.34,184,104,9,4,52,15,9,3,144.00,5,0,0,92*,48.00,6,0,170
Abhishek Sharma,212,14,0000-00-00,false,,60,2019-100mb00000000212-9df3a24d44bc11,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000212-9df3a24d44bc11,14,26,426,320,126,133.12,39.37,2.53,5.33,62.44,2.19,194,109,24,1,47,13,14,0,NA,2,0,0,75,30.43,1,0,3760
Ishan Kishan,164,14,0000-00-00,false,,60,2019-100mb00000000164-8ae075db44ad11,17,MI,Mumbai Indians,60,17,2019-100mb00000000164-8ae075db44ad11,14,20,418,348,140,120.11,40.22,2.48,6.21,58.85,2.00,208,133,18,1,45,11,13,1,418.00,3,0,0,81*,32.15,13,0,2975
Rahul Tripathi,188,14,0000-00-00,true,,60,2019-100mb00000000188-896b509b44b711,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000188-896b509b44b711,14,16,413,261,85,158.23,32.56,3.07,4.35,67.79,2.34,176,100,15,1,40,20,11,3,137.66,3,0,0,76,37.55,6,0,3838
Shreyas Iyer,12,14,0000-00-00,true,,60,2018-100mb00000000012-ea4c47d2e99b11,16,KKR,Kolkata Knight Riders,60,16,2018-100mb00000000012-ea4c47d2e99b11,14,19,401,298,103,134.56,34.56,2.89,5.73,57.35,2.05,195,118,22,3,41,11,13,1,401.00,3,0,0,85,30.85,5,0,1563
Tilak Varma,993,14,0000-00-00,false,,60,2022-100mb00000000993-60c58f9ea44c11,17,MI,Mumbai Indians,60,17,2022-100mb00000000993-60c58f9ea44c11,14,21,397,303,94,131.02,31.02,3.22,6.73,53.40,1.89,209,144,19,1,29,16,11,3,132.33,2,0,0,61,36.09,10,0,20594
Aiden Markram,287,14,0000-00-00,true,,60,2019-100mb00000000287-ca1a6bb17ae311,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000287-ca1a6bb17ae311,12,4,381,274,79,139.05,28.83,3.46,6.22,56.16,1.95,195,135,16,0,25,19,8,4,95.25,3,0,0,68*,47.63,6,0,1667
Devdutt Padikkal,200,17,0000-00-00,false,,60,2019-100mb00000000200-1283ad3244ba11,18,RR,Rajasthan Royals,60,18,2019-100mb00000000200-1283ad3244ba11,17,20,376,306,135,122.87,44.11,2.26,5.66,64.89,2.19,171,104,12,0,40,14,17,0,NA,1,0,0,54,22.12,5,0,5430
Ruturaj  Gaikwad,102,14,0000-00-00,true,,60,2019-100mb00000000102-28e7fca043fc11,13,CSK,Chennai Super Kings,60,13,2019-100mb00000000102-28e7fca043fc11,14,14,368,291,109,126.46,37.45,2.66,6.19,58.69,2.02,182,119,15,1,33,14,14,0,NA,3,0,0,99,26.29,4,0,5443
Nitish Rana,148,14,0000-00-00,false,,60,2019-100mb00000000148-ef59629644a811,16,KKR,Kolkata Knight Riders,60,16,2019-100mb00000000148-ef59629644a811,14,22,361,251,101,143.82,40.23,2.48,4.92,68.69,2.40,150,87,10,2,29,22,13,1,361.00,2,0,0,57,27.77,6,0,2738
Virat Kohli,2,16,0000-00-00,true,,60,2018-wicb00000000002-47ea5a6ae99a11,19,RCB,Royal Challengers Bangalore,60,19,2018-wicb00000000002-47ea5a6ae99a11,16,21,341,294,115,115.98,39.11,2.55,7.35,51.61,1.90,179,117,18,4,32,8,15,1,341.00,2,0,0,73,22.73,9,0,164
Rishabh Pant,18,14,0000-00-00,false,,60,2018-100mb00000000018-6e65e6f7e99c11,14,DC,Delhi Capitals,60,14,2018-100mb00000000018-6e65e6f7e99c11,13,16,340,224,79,151.78,35.26,2.83,4.39,69.41,2.34,145,84,10,0,35,16,11,2,170.00,0,0,0,44,30.91,8,4,2972
Andre Russell,141,14,0000-00-00,true,,60,2019-100mb00000000141-e67c41d144a711,16,KKR,Kolkata Knight Riders,60,16,2019-100mb00000000141-e67c41d144a711,12,14,335,192,84,174.47,43.75,2.28,3.84,78.80,3.10,108,45,13,0,18,32,9,3,111.66,1,0,0,70*,37.22,1,0,177
Rajat Patidar,597,8,0000-00-00,true,,60,2021-100mb00000000597-a0edfee691e511,19,RCB,Royal Challengers Bangalore,60,19,2021-100mb00000000597-a0edfee691e511,7,26,333,218,71,152.75,32.56,3.07,4.84,64.86,2.26,147,88,13,1,27,18,6,1,333.00,2,1,0,112*,55.50,4,0,5471
Dinesh Karthik,13,16,0000-00-00,true,,60,2018-100mb00000000013-1031ba8ae99c11,19,RCB,Royal Challengers Bangalore,60,19,2018-100mb00000000013-1031ba8ae99c11,16,16,330,180,53,183.33,29.44,3.39,3.67,72.72,2.59,127,66,12,0,27,22,6,10,33.00,1,0,0,66*,55.00,10,2,102
Wriddhiman Saha,225,11,0000-00-00,true,,60,2019-100mb00000000225-a11ad1bc44c011,35,GT,Gujarat Titans,60,35,2019-100mb00000000225-a11ad1bc44c011,11,18,317,259,105,122.39,40.54,2.46,5.51,63.72,2.05,154,99,8,0,40,7,10,1,317.00,3,0,0,68,31.70,11,2,16
Shimron Hetmyer,210,15,0000-00-00,false,,60,2019-100mb00000000210-b8addb3444bb11,18,RR,Rajasthan Royals,60,18,2019-100mb00000000210-b8addb3444bb11,15,29,314,204,73,153.92,35.78,2.79,4.85,66.87,2.39,131,75,13,1,21,21,7,8,39.25,1,0,0,59*,44.86,3,0,1705
Nicholas Pooran,136,14,0000-00-00,false,,60,2019-100mb00000000136-9313d156449c11,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000136-9313d156449c11,13,29,306,212,72,144.33,33.96,2.94,5.72,62.09,2.18,140,90,13,0,16,21,8,5,61.20,2,0,0,64*,38.25,8,1,1703
Suryakumar Yadav,174,8,0000-00-00,true,,60,2019-100mb00000000174-619a804244af11,17,MI,Mumbai Indians,60,17,2019-100mb00000000174-619a804244af11,8,10,303,208,71,145.67,34.13,2.92,5.33,62.04,2.21,137,82,15,1,23,16,7,1,303.00,3,0,0,68*,43.29,3,0,108
Glenn Maxwell,28,13,0000-00-00,true,,60,2018-100mb00000000028-acc7d0a3e99d11,19,RCB,Royal Challengers Bangalore,60,19,2018-100mb00000000028-acc7d0a3e99d11,13,15,301,178,61,169.10,34.26,2.91,3.86,71.09,2.57,117,57,12,2,31,15,11,2,150.50,1,0,0,55,27.36,5,0,282
Shivam Dube,211,11,0000-00-00,false,,60,2019-100mb00000000211-dc1f6a2544bb11,13,CSK,Chennai Super Kings,60,13,2019-100mb00000000211-dc1f6a2544bb11,11,14,289,185,59,156.21,31.89,3.13,4.86,63.66,2.29,126,71,17,0,22,16,10,1,289.00,2,0,0,95*,28.90,6,0,5431
Prithvi Shaw,51,10,0000-00-00,true,,60,2018-100mb00000000051-5a1d4ca2f88b11,14,DC,Delhi Capitals,60,14,2018-100mb00000000051-5a1d4ca2f88b11,10,18,283,185,75,152.97,40.54,2.46,3.93,73.49,2.57,110,52,10,1,37,10,10,0,NA,2,0,0,61,28.30,4,0,3764
Ambati Rayudu,60,13,0000-00-00,true,,60,2019-100mb00000000060-7861780c161111,13,CSK,Chennai Super Kings,60,13,2019-100mb00000000060-7861780c161111,11,13,274,224,103,122.32,45.98,2.17,5.60,69.34,2.26,121,78,3,0,25,15,11,0,NA,1,0,0,78,24.91,4,0,100
