BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,14,,14,,15,,369,117,,,14.19,12.07,12.07,,,7.05,52,,,,0,0,,,,,26,,,,5/19,5/19,0,,0,1,,0
Jaydev Unadkat,,,RPS,Rising Pune Supergiant,12,,12,,180,,322,119,,,13.41,11.45,11.45,,,7.02,46,,,,0,0,,,,,24,,,,5/25,5/25,3,,0,1,,1
Jasprit Bumrah,,,MI,Mumbai Indians,16,,16,,9,,439,122,,,21.95,17.80,17.80,,,7.39,59,,,,0,1,,,,,20,,,,4/14,4/14,2,,0,0,,0
Mitchell McClenaghan,,,MI,Mumbai Indians,14,,14,,0,,507,119,,,26.68,17.05,17.05,,,9.38,54,,,,0,1,,,,,19,,,,4/21,4/21,0,,0,0,,0
Imran Tahir,,,RPS,Rising Pune Supergiant,12,,12,,96,,369,94,,,20.50,15.66,15.66,,,7.85,47,,,,0,0,,,,,18,,,,4/12,4/12,0,,0,0,,0
Chris Woakes,,,KKR,Kolkata Knight Riders,13,,13,,314,,386,87,,,22.70,15.52,15.52,,,8.77,44,,,,4,1,,,,,17,,,,3/36,3/36,0,,0,0,,0
Rashid Khan,,,SRH,Sunrisers Hyderabad,14,,14,,218,,358,121,,,21.05,19.05,19.05,,,6.62,54,,,,0,1,,,,,17,,,,3/19,3/19,0,,0,0,,0
Sandeep Sharma,,,PBKS,Punjab Kings,13,,13,,220,,398,115,,,23.41,16.94,16.94,,,8.29,48,,,,0,0,,,,,17,,,,4/20,4/20,0,,1,0,,0
Umesh Yadav,,,KKR,Kolkata Knight Riders,14,,14,,21,,410,117,,,24.11,17.11,17.11,,,8.45,48,,,,0,0,,,,,17,,,,4/24,4/24,0,,1,0,,0
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,10,,10,,64,,300,65,,,18.75,13.37,13.37,,,8.41,35,,,,0,0,,,,,16,,,,4/29,4/29,0,,1,0,,0
Pawan Negi,,,RCB,Royal Challengers Bangalore,12,,12,,208,,197,80,,,12.31,12.06,12.06,,,6.12,32,,,,10,7,,,,,16,,,,4/18,4/18,0,,0,0,,0
Axar Patel,,,PBKS,Punjab Kings,14,,14,,110,,362,82,,,24.13,19.20,19.20,,,7.54,48,,,,11,11,,,,,15,,,,4/21,4/21,0,,0,0,,0
Nathan Coulter-Nile,,,KKR,Kolkata Knight Riders,8,,8,,5,,228,70,,,15.20,11.33,11.33,,,8.04,28,,,,0,2,,,,,15,,,,4/14,4/14,0,,0,0,,0
Pat Cummins,,,DC,Delhi Capitals,12,,12,,33,,373,84,,,24.86,18.46,18.46,,,8.07,46,,,,5,4,,,,,15,,,,4/34,4/34,0,,0,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,13,,13,,10,,333,92,,,23.78,18.64,18.64,,,7.65,43,,,,0,0,,,,,14,,,,4/25,4/25,0,,0,0,,0
Mohit Sharma,,,PBKS,Punjab Kings,14,,14,,100,,410,87,,,31.53,21.07,21.07,,,8.97,45,,,,3,1,,,,,13,,,,4/14,4/14,0,,0,0,,0
Karn Sharma,,,MI,Mumbai Indians,9,,9,,98,,214,75,,,16.46,14.15,14.15,,,6.97,30,,,,5,2,,,,,13,,,,4/16,4/16,0,,1,0,,0
Kuldeep Yadav,,,KKR,Kolkata Knight Riders,12,,11,,14,,340,74,,,28.33,20.50,20.50,,,8.29,41,,,,2,0,,,,,12,,,,4/20,4/20,0,,0,0,,0
Chris Morris,,,DC,Delhi Capitals,9,,9,,112,,240,71,,,20.00,15.50,15.50,,,7.74,31,,,,15,6,,,,,12,,,,4/23,4/23,0,,1,0,,0
Ben Stokes,,,RPS,Rising Pune Supergiant,12,,12,,177,,316,108,,,26.33,22.00,22.00,,,7.18,44,,,,22,15,,,,,12,,,,3/15,3/15,1,,0,0,,0
Andrew Tye,,,GL,Gujarat Lions,6,,6,,30,,141,44,,,11.75,10.50,10.50,,,6.71,21,,,,4,3,,,,,12,,,,5/17,5/17,0,,0,1,,1
Shardul Thakur,,,RPS,Rising Pune Supergiant,12,,12,,105,,315,85,,,28.63,20.81,20.81,,,8.25,38,,,,0,0,,,,,11,,,,3/19,3/19,0,,0,0,,0
Dan Christian,,,RPS,Rising Pune Supergiant,13,,13,,0,,298,74,,,27.09,21.81,21.81,,,7.45,40,,,,5,5,,,,,11,,,,2/10,2/10,0,,0,0,,0
Basil Thampi,,,GL,Gujarat Lions,12,,12,,213,,424,76,,,38.54,24.36,24.36,,,9.49,44,,,,1,1,,,,,11,,,,3/29,3/29,0,,0,0,,0
Lasith Malinga,,,MI,Mumbai Indians,12,,12,,167,,382,90,,,34.72,24.45,24.45,,,8.52,45,,,,0,1,,,,,11,,,,5/13,5/13,0,,0,0,,0
Zaheer Khan,,,DC,Delhi Capitals,11,,11,,462,,313,72,,,31.30,24.10,24.10,,,7.79,40,,,,0,0,,,,,10,,,,4/17,4/17,0,,0,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,16,,15,,156,,412,133,,,41.20,35.40,35.40,,,6.98,59,,,,34,10,,,,,10,,,,5/19,5/19,0,,0,0,,0
Mohammed Siraj,,,SRH,Sunrisers Hyderabad,6,,6,,63,,212,48,,,21.20,13.80,13.80,,,9.21,23,,,,0,0,,,,,10,,,,4/32,4/32,0,,1,0,,0
Amit Mishra,,,DC,Delhi Capitals,14,,14,,107,,343,78,,,34.30,23.30,23.30,,,8.83,39,,,,2,2,,,,,10,,,,5/17,5/17,1,,0,0,,0
Krunal Pandya,,,MI,Mumbai Indians,13,,13,,17,,273,74,,,27.30,24.00,24.00,,,6.82,40,,,,24,7,,,,,10,,,,3/14,3/14,0,,0,0,,0
Samuel Badree,,,RCB,Royal Challengers Bangalore,7,,7,,494,,188,62,,,20.88,16.66,16.66,,,7.52,25,,,,0,0,,,,,9,,,,4/9,4/9,1,,1,0,,1
Washington Sundar,,,RPS,Rising Pune Supergiant,11,,10,,20,,185,81,,,23.12,22.50,22.50,,,6.16,30,,,,0,0,,,,,8,,,,3/16,3/16,0,,0,0,,0
Harbhajan Singh,,,MI,Mumbai Indians,11,,11,,95,,266,96,,,33.25,30.75,30.75,,,6.48,41,,,,0,1,,,,,8,,,,5/18,5/18,0,,0,0,,0
